aamu ,jäljellä olevista palveluspäivistä armeijassa  ,Nyt on aamut vähissä. Montaks aamua sulia on jäljellä? ,service days in army
antaa pitkät ,"olla välittämättä jostakin, suuttua, haistattaa pitkät  ","Tommoselle nuijalle mä annan pitkät. Joskus tekis mieli antaa vaan pitkät kaikille, ",to not care
antaa piupaut ,olla välittämättä jostakin  ,Isä aina vaan huutaa ja mun mielipiteille se antaa piupaut. Tänään mä lepään ja annan piupaut kaikille kotihommille. ,to not care
antaa soittaa ,"huolettomana, riehakkaana kehotuksena: siitä vaan, antaa palaa  ","Antaa soittaa vaan, tie on tyhjä! ","""Go ahead!"""
antaa tulla ,"uhmakkaana kehotuksena, kun toinen haluaa tehdä tai sanoa jotakin: siitä vaan, voit toimia, olen valmis vastaamaan  ","""Haluuks sä turpaas ? Antaa tulla vaan! "" ""Mulla olis sulle yks juttu. -No, anna tulla!"" ","(defiantly) ""Come on!""; ""Yes?"""
antaa vetää ,"mene tiehesi, häivy, ala vetää, antaa heittää  ",Antaa vetää niin kuin olis jo! ,"""Get off!"""
aparaatti ,"laite, koje, vehje  ","Tää on aika hieno aparaatti, tää uus videokamera. ",machine
apinoida ,"matkia, jäljitellä  ","halv. Villen pikkuveli aina apinoi sitä. Onks sitä pakko apinoida, jos joku tekee tyhmyyksiä? ",imitate
apostolinkyydillä ,"jalan, jalkapatikassa, kävellen  ","Ei sinne oo tietä, pitää mennä apostolinkyydillä. ",on foot
apro ,approbatur: ylioppilaskokeen alin hyväksytty arvosana; perusopinnot yliopistossa  ,"Niina pelkää, että se saa ruotsista apron. Mä oon tehny kasvatustieteiden apron avoimessa yliopistossa, ",lowest pass grade in high school final exams; basic studies at university
apukuski ,"kuljettajan vieressä istuva matkustaja, hanttimies  ","Apukuskin puolella oli iso lommo. Turvaistuimen voi panna taakse tai sit eteen apukuskin paikalle, ",person sitting next to the driver
armoton ,"vahvistussana: mahtava, huikea; hirveä, kauhea  ",Bileissä oli armoton meininki. Jätkällä kävi armottoman hyvä tuuri. Mua väsytti aamulla ihan armottomasti. Villellä oli armoton krapula. ,intensifying word>
arska ,aurinko  ,slg. Paistaaks siel arska ? Maattiin rannalla ja otettiin arskaa. ,sun
arvata ,"uskaltaa, tohtia  ","Arvaako sitä lähtee mihinkään, ku on tommonen ilma. Se oli niin vihasen näkönen, et mä en arvannu kysyä mitään, ","bother, dare"
aseet ,"ruokailuvälineet, aterimet, syömäaseet  ","Onks täällä aseet missä? Vähän hankala syödä, ku ei oo aseita, ",cutlery
asetukset ,tietokoneohjelmaan asetetut tiedot  ,Miten nää asetukset saa muutetuksi? Älä koske niihin asetuksiin! ,default settings
asevelihinta ,"halpa hinta, sopuhinta, varsinkin tuttavien kesken  ","Sata euroo, ja se on asevelihinta. Mä sain sen auton asevelihintaan. ",low price
asfaltti-ihottuma ,"ihovamma, joka syntyy tielle kaatumisesta -","Onneks ei tullu ku vähän asfalttiihottumaa, ",scratches on skin after falling on asphalt
aski ,"rasia, laatikko, pakkaus  ","Paljon tupakka-aski maksaa nykyään ? Ne karkit on semmosessa punasessa askissa, ","packet, pack"
assa ,(rautatie)asema  ,Assalla on paljon epämäärästä porukkaa. ,station
assari ,assistentti yliopistossa  ,"Sit ku valmistuu, voi jäädä yliopistolle assariks. ",assistent (at university)
astua korkin päälle ,olla (vähän) humalassa  ,Oot tainnu vähän astua korkin päälle. Sit siihen tuli joku korkin päälle astunu äijä selittämään. ,be (slightly) drunk
atomeiksi ,"hajalle, rikki, osiksi  ",Villen lasi putos lattialle ja meni ihan atomeiks. Se kivi räjäytettiin atomeiks. Toi moottori pitää purkaa atomeiks. ,broken to pieces
