aamu ,jäljellä olevista palveluspäivistä armeijassa  ,Nyt on aamut vähissä. Montaks aamua sulia on jäljellä? ,service days in army
kävelemään ,"lähtemisestä, pois ajamisesta: tiehensä, pellolle, pihalle  ","Sit sillä firmalla alko mennä huonosti ja ne laitto hirveesti ihmisiä kävelemään. Nyt täytyy mennä äkkiä kotiin tai muija panee mut kävelemään. Poliisit tuli siihen ja sano, et lähtekää kävelemään. Mitä sä oot tommosen hullun kanssa, lähtisit käveleen ja äkkiä. ","away, off"
käydä 1 ,"sattua, koskea, ottaa (1)  ","Paatko noi verhot kiinni, ku aurinko käy silmiin. Mua kävi jotenkin korviin se poran ääni. ","hurt, feel bad, get on sb's nerves"
käydä 2 ,"alkaa, ruveta  ","slg. Käy pikku hiljaa ottaan päähän tää touhu. Älä käy keljuilemaan mulle! Sit se naapurin äijä kävi välittään, ",begin (to do sth)
"käydä hermoille, hermoon ","hermostuttaa, suututtaa, ottaa hermoon  ","Pitääks sun koko ajan valittaa, se alkaa käydä hermoille. Kyllä noi työkaverit käy joskus mun hermoille. Käy hermoille tää ilma. Toi koiran ulvominen käy hermoon, ",get on sb's nerves
käydä kalpaten ,"käydä huonosti, kehnosti, köpelösti  ","Älä mee enää sinne jäälle, tai käy vielä kalpaten! Meille meinas käydä kalpaten ku siellä seiso hirvi keskellä tietä. Villen kävi kalpaten niitten rahasotkujen kanssa, ","go badly, go wrong"
käydä kierroksilla ,"käydä tietyllä kierrosluvulla, nopeudella; olla vihainen, harmissaan, kiihtynyt, käydä kuumana  ","Kone kävi täysillä kierroksilla. Nyt toi lapsi käy niin kierroksilla, et ei sitä saa nukkumaan millään. Ope kävi kierroksilla, ku kukaan ei ollu tehny läksyjä. ","go at (high) revs; be angry, annoyed or restless"
"käydä kunnialle, kunnian päälle ","loukata kunniaa, itsetuntoa  ","Tais käydä vähän kunnian päälle, vai mitä sä nyt raivoot? Käyhän se miehen kunnialle, jos ei osaa itte ees renkaita vaihtaa. ",hurt one's pride
käydä kunnon päälle ,"väsyttää, käydä voimille; uhata terveyttä ja ruumiillista kuntoa  ","Voi veljet ku se pesukone paino, meinas käydä kunnon päälle. Käviks vähän kunnon päälle, vai mitä sä puuskutat? Toi vuorotyö rupee iän mittaan käymään kunnon päälle, ","to exhaust, threaten one's fitness"
käydä köpelösti ,"käydä huonosti, kehnosti, kalpaten  ","Näpit irti siitä pistorasiasta tai käy köpelösti! Mulle kävi köpelösti tänään, ku mäjätin lompsanijohonkin, ","go badly, go wrong"
"käydä luonnolle, luonnon päälle ","koetella itsetuntoa, käydä kunnialle; koetella rohkeutta, sisua  ","Käykö se noin paljon luonnolle, et pitää pyytää anteeks? Se häviö kävi pahasti luonnolle. Kyllä se kävi luonnon päälle lopettaa ne kissanpennut, ","hurt one's pride, try one's courage"
käydä naisissa ,harrastaa tilapäisiä naissuhteita  ,"Vai muka työmatka, kuhan ryypätään ja käydään naisissa. Mä jätin mun poikaystävän, ku se kävi naisissa, ",have casual relationships with women
käydä ohraisesti ,"käydä huonosti, kalpaten, köpelösti  ",Siinä pelissä käy kyllä vielä ohrasesti. Meille meinas käydä ohrasesti sillä reissulla. ,"go badly, go wrong"
käydä päälle ,"hyökätä kimppuun, tulla päälle, silmille  ","Älä ny saakeli päälle käy! Jätkä suuttu ja kävi päälle, ","to assault, to attack"
käydä vanhanaikaisesti ,"käydä huonosti, köpelösti; tulla vahingossa raskaaksi  ","Tommosia vilunkeja kun tekee, niin käy äkkiä vanhanaikasesti. Kannattas ehkä hommata pillerit, ennenku käy vanhanaikasesti. ",go badly; become unintentionally pregnant
käydä vieraissa ,"olla uskoton, pettää vakituista kumppania  ","Jos käyt vieraissa, ni älä ainakaan kerro sitä mulle. Kakskytä vuotta on oltu naimisissa enkä kertaakaan oo käyny vieraissa, ","have sex with sb else than one's spouse, girlfriend, boyfriend or regular partner"
käyttis ,tietokoneen käyttöjärjestelmä  ,slg. Must tää Unix on hyvä käyttis. Villen pikkuveli pani tähän uuden käyttiksen. ,operating system
kääk ,"harmia tai yllättymistä ilmaiseva huudahdus, ai (1), ääk  ","Kääk, onkse kello jo noin paljon? Voi kääk, mitä sä oot menny tekemään! ",<expression of annoyance or surprise:»
kääkkä ,"vanha, vanhoillinen ihminen, käpy, kääpä  ","halv. Mä en tajuu miks sen mutsin pitää olla tommonen kääkkä. Me juotiin kaljaa rannalla, ni siihen tuli heti jotku kääkät valittamaan, ",old and/or conservative person
kääntää ,"varastaa, näpistää, pihistää Paa  ","kaikki tavarat kaappiin tai ne käännetään heti. Hitto, kun joku kääns mun lompakon, ","steal, lift, purloin"
kääntää kelkkansa ,"muuttaa mieltään, toimintatapaansa  ","Heti ku tuli puhe rahasta, niin pomo kääns kelkkansa. Sun pitäs ny kääntää kelkkas ja tehäjotain elämälles. ",change one's mind or ways
kääpä ,"vanha, vanhoillinen ihminen, käpy  ","halv. Ois kiva jos opettaja olis nuori eikä tommonen helkutin kääpä. Ei sen käävän jutuista tartte välittää, ",old and/or conservative person
kääriä rahaa ,"ansaita, tehdä rahaa; huijata, varastaa  ","Niistä osakkeista voi kääriä isot rahat. Tommoset poliitikot, ne vaan kääri rahaa omaan taskuunsa, ",make money; cheat
kökkö ,"avuton, kömpelö, typerä, yksinkertainen  ","Siinä leffassa oli tosi kökkö juoni. Se koulu oli ihan kökkö paikka. Tulipas tästä kuvasta kökön näkönen. Paa se telkkari kii, ei tommosta kökköö jaksa katella. ","clumsy, bad, too simple"
köksä ,kotitalous oppiaineena  ,Mä tykkään koulussa eniten köksästä. Köksän tunnilla sai aina syyä mahan täyteen. ,Home Economics
kölvi ,"pikkupoika, kakara  ",Mä olin siilon vielä ihan pieni kölvi. Menkää kolvit muualle huutamaan siitä! ,little boy
köniin(sä) ,"lyödä tai tulla lyödyksi (kasvoihin), kuonoon, turpaan  ","Ei sinne uskalla mennä, voi tulla köniin. Tolle pitäs kyllä jonkun antaa kunnolla köniin. Oo hiljaa, tai saat vielä köniis! Suomalaiset sai köniinsä 5-2. ",beaten on one's face
köntsä ,"möhkäle, kokkare, köntti; uloste, paska  ",slg. Jääkaapiss ei ollu ku köntsä vanhaa juustoa. Ville oli saanu jostain ison köntsän rahaa. Puhelinkoppiin olijoku tehny köntsät. ,lump; excrement
könttä(summa) ,"kertamaksu, kerralla maksettava summa  ","No pannaan vähän alennusta ja lasketaan sulle tästä joku könttäsumma. Vakuutus makso könttäsumman, viistuhatta euroo. Ottaaks ne tuntitaksan vai onkse vaan yks könttä? Kannattaa maksaa könttänä, ku osamaksulla se tulee kalliimmaks. ","single payment, lump sum"
köpis ,Kööpenhamina  ,Köpis on hyvä mesta. Me ajettiin yhtä soittoo Ruotsin läpi suoraan Kopikseen. ,Copenhagen
kössi, squash  ,Mennäänks pelaamaan kössiä? Mulla alkaa kolmelta toi kössi. ,squash (game)
köyden jatkona ,"hirressä, kiikussa, jojona  ",Siel se sit oli roikkunu vaatekaapissa köyden jatkona. Ihan sama vaikka vetäis ittensä köyden jatkoks. Tommoset roistot pitäs panna köyden jatkoks. ,hanged
köyhä ,"tyhmä, typerä, tylsä; surkea, kelvoton  ","slg. Hitto, et sä oot köyhä! Koulus oli taas tosi köyhää. Eijaksais aina olla siin samas köyhässä baarissa, ","stupid, boring; bad, useless"
kööri ,"kuoro; joukko, jengi, porukka  ","Mullon niin huono lauluääni, et emmä päässy koulun kööriin. Mikä helkutin juoppokööri tuolla möykkää? Nyt äkkiä sisälle koko kööri! ","choir; group, gang"
laaki 1 ,"laukaus, isku, tälli  ","Oli niin paha laaki, et maalivahti ei saanu sitä kiinni. Koko päivä vaan kytättiin metässä eikä laakin laakia ammuttu. Hevonen potkas semmosen laakin, et meinas mennä jalka poikki, ","shot, hit"
laaki 2 ,sydänkohtaus  ,"Sydän hakkas niin et meinas tulla laaki. Mutsi sais varmaan laakin jos näkis mut rööki suussa, ",heart attack
laakista ,"yhdellä iskulla, yhdellä kerralla, ensimmäisellä kerralla, heti, suoraan  ","Oli niin kova tälli, et taju lähti laakista. Auto lähti käyntiin heti laakista. Ei se tupakka ny ihan laakista tapa. ","with one hit, right away"
laatata ,"oksentaa, heittää laattaa  ",slg. Niina oli niin kännissä et se meinas laatata taksissa. Kuka sika on laatannu lavuaariin? ,to vomit
laatikko ,jääkiekkokaukalo  ,slg. Kakkosketju hyppäs laatikkoon. ,ice hockey rink
laatta ,"oksennus, yrjö  ","slg. Se kilju oli niin kauheeta paskaa, et meinas tulla laatta. Pysäytä, tai kohta multa lentää laatta! ",vomit
labra ,"laboratorio, laboratoriotutkimus  ",Mun pitää käydä lahrassa ennen sitä lääkäriä. Millaset ne oli ne labran tulokset? ,laboratory
ladata ,"lyödä, iskeä, potkaista ","Ville latas lisää kolikoita peliautomaattiin. Varo vaan etten mä lataa sua turpaan! Litmanen latas hirveen rankkarin, ","hit, kick"
ladata akkuja ,"levätä, virkistäytyä, rentoutua  ","Mulle on paras tapa ladata akkuja, ku mä pelaan jotain hyvää tietokonepeliä. Onneks kohta tulee kesäloma, ni pääsee mökille vähän akkuja lataamaan. ","to rest, relax"
lafka ,"kauppa, liike, yritys, firma  ",slg. Mistähän lafkasta sais tämmösiä lamppuja? Toi lafka kannattaa kuulemma tosi hyvin. Niina menee kesätöihin senfaijan lafkaan. ,"store; enterprise, firm"
lahdata ,"teurastaa, tappaa, surmata  ",Eihän nää nykyajan kaupunkilaispennut pysty lahtaamaan ees kanaa. Ne saamarin terroristit pitäs lahdata kaikki. Siinä leffassa lahdattiin ihmisiä ihan älyttömästi. ,"to slaughter, kill"
lahjakkaasti ,"pahasti, kömpelösti, taitamattomasti  ",Siis mitenjoku voi mokata niin lahjakkaasti? Jotenkin mä olin taas lahjakkaasti myöhässä. Sit me eksyttiin oikein lahjakkaasti. ,"badly, unskilfully"
lahopää ,"tyhmä, typerä, huonomuistinen  ","halv. Etsä lahopää nyt tätäkään tajuu? Se meiän pomo on kyllä yks halvatun lahopää. Soita sille lahopäälle, ku ei se kuitenkaan muista muuten tulla, ",stupid; forgetful
lahota ,"hajota, mennä rikki  ","Pitäs ostaa uudet kengät ku nää alkaa jo lahoomaan. Toi autohan lahoo käsiin, ","break, wear out"
laidasta laitaan ,"kaikenlaisia, erilaisia  ","Siellä torilla myytiin tavaraa laidasta laitaan. Ei se oo mikään nuorten disko, siellä on porukkaa laidasta laitaan. Mä kuuntelen kaikenlaista musaa, ihan laidasta laitaan, ",all kinds of
laiha lohtu ,"asia, joka ei paljon lohduta  ","On täs työttömyydessä se laiha lohtu, et ei ainakaan oo kiire. Semmosen pelin jälkeen tasapeli oli aika laiha lohtu, ",cold comfort
laiheliini ,laiha ihminen  ,"Kävisit säkin laiheliini salilla, ni saisit vähän lihaksia. Kauhee kattoo noita malleja, ku ne on tommosia laiheliineja. ",thin person
laihis ,"laihdutuskuuri, laihduttaminen, dieetti  ","Eiks sun pitäny olla laihiksella? Tänään mä kyllä mässään, ku huomenna alkaa sit laihis. ","slimming diet, reducing diet"
laiskamato ,"laiskuus, lorvikatarri; laiskuri, lorvailija  ","halv. Vai muka sairas, sitä ei kuule vaivaa mikään muu ku laiskamato. On tainnu vähän päästä laiskamato purasemaan. Ärsyttää ku kaikki menee pieleen tommosen laiskamadon takia, ",laziness; a lazy person
laitamyötäisessä ,"humalassa, hiprakassa  ","Taitaa toi naapurin äijä olla pienessä laitamyötäsessä. Sehän oli niin laitamyötäsessä, et ei meinannu pysyä pystyssä. ",drunk
laitapuolen kulkija ,"alkoholisoitunut, syrjäytynyt ihminen  ","Siihen tulijoku laitapuolen kulkija rahaa kerjäämään. Täytys vähän ymmärtää myös noita laitapuolen kulkijoita, ",outcast; alcoholic
laitimmainen kerta ,viimeinen kerta  ,"Anna olla laitimmainen kerta, ku luut kotiin tossa kunnossa. Ton tempun sä kuule teit nyt laitimmaisen kerran, ",the last time
laittaa ,"panna, asettaa, lähettää, panna kuntoon, järjestää; käytetään usein tilalla tabusyistä  ",panna-verbin Laita ne tavarat siihen pöydälle. Mä laitoin oven kii.Miks sä laitoit telkkarin pois päältä? Laitetaan se paperi tulemaan postissa. Laittasit nyt hyvä ihminen ittes kuntoon. Eiköhän nyt olis aika laittaa asiat uuteen järjestykseen. ,"put, set, turn, send, fix, arrange"
laittaa itseään ,"kaunistautua, meikata, ehostaa  ","Niina ei oo valmis, se laittaa vielä itteensä. Mä en tajuu, kuinka jotkut jaksaa laittaa itteään tuntikaupalla, ",do oneself up
laituri ,"laitahyökkääjä jääkiekossa, jalkapallossa tai muussa pallopeIissä ","Ketjussa on keskushyökkääjä ja sit laiturit. Vasen laituri teki maalin, ",winger
laku ,lakritsi  ,"Annas mullekin sitä lakua! Mä tykkään lakusta ihan älyttömästi, ",liquorice
"lakupekka, lakupelle ","musta-, tummaihoinen, neekeri, mutakuono  ","halv. Mee sinä lakupekka takasin Afrikkaan! Meiän taloon muutti jotain lakupekkoja. Menisivät töihin, saamarin lakupellet. ",black person
lampsia ,"kävellä, mennä hitaasti, laiskasti, välinpitämättömästi  ",Kävele kunnolla äläkä vaan lampsi tolleen kädet taskussa! Ei kai täs auta muu ku lähtee lampsimaan. ,shuffle along
lande 1 ,"maaseutu, Helsingin ulkopuolinen Suomi  ",slg. Se on kotosin jostain landetta. Lande alkaa siit mihin ratikkakiskot loppuu. ,country(side); Finland outside Helsinki
lande 2 ,maalainen ,"slg. Ootsä joku lande vai? Nehän on just ne landet ku yrittää puhuu kauheesti slangia, ","country person, peasant"
lande 3 ,"kesämökki, kesäpaikka  ","slg. Me ollaan koko heinäkuu meijän landella, ","cottage, summer resort"
landepaukku ,"maalainen, lande (2)  ","slg. Sit siihen tuli joku landepaukku eteen traktorinsa kanssa. No oikeestaan me kaikki suomalaiset, me ollaan pohjimmiltaan landepaukkuja, ","country person, peasant"
lankapuhelin ,"kiinteä puhelinliittymä, siihen kuuluva johdol linen puhelinkoje  ","Ei mulla ees oo enää lankapuhelinta. Ei lankapuhelimesta oo välttämättä sen halvempi soittaa ku kännykästä. Ku toi lankapuhelin hajoo, mä kyl lopetan koko liittymän, ",wired phone
tankata ,kiillottaa kenkiä  ,"Katohan, sä oot oikein lankannu kenkäs. Intissä piti aina lankata saappaat, et pääs lomille, ",polish shoes
lankki ,kengänkiilloke  ,Onks sitä kenkälankkia missä? Varo ettet sotke mattoo siihen lankkiin! ,shoe polish
lankonki ,"maihinnoususilta, laskusilta; (tilapäinen) kulkusilta rakennustyömaalla  ","Veneestä pääsee helpommin maihin, jos on lankonki. Ei meinannu pysyy lankongilla, ku ne oli niin pirun painavat ne kottikärryt. ",drawbridge
"lantrata, lantata ","sekoittaa juomia, laimentaa alkoholia, blandata  ","Se on semmosta mehutiivistettä, sitä pitää lantrata. Mä ihmettelin ku ei viina nouse päähän, ni sitähän oli lantattu vedellä, ","to mix, dilute"
"lantrinki, lantinki ","neste, jolla alkoholijuomia laimennetaan, blandis  ",Onks sulia mitään lantrinkia ? Pannaan vaikka appelsiinimehua lantingiks. ,diluting substance
lantsarit ,kumisaappaat  ,"Paa lantsarit jalkaan, siellon tosi märkää. Noissa lantsareissa hikoo jalat ihan älyttömästi, ",rubber boots
lanttu ,"pää, nuppi, kaali ","Helkkari ku mulla on lanttu kipee. Paina ny tää asia lanttuus, mä en sano enää toista kertaa, ",head
lanttu leikkaa ,"ymmärtää, tajuta, hoksata  ","Kyllä sil kaverilla lanttu leikkaa. Mulla ei ny oikein lanttu leikkaa, ","understand, comprehend"
lapa ,käsi  ,"Pelotti niin että lapa tärisi. Kassa ootti lapa ojossa, ja mummo vaan laski kolikoita kaikessa rauhassa, ",hand
lapioida ,"syödä, lusikoida  ",Lapsi lapioi ruokaa niin et se meni väärään kurkkuun. Lapioi ny se keitto naamaas et päästään lähtemään! Vois sitä ruokaa vähän pureskellakin eikä vaan lapioida suuhunsa. ,eat
lapota ,"juoksuttaa nestettä letkulla, lapolla  ","Ku viini on käyny tarpeeks, sen voi lapota vaikka ämpäriin. Jotkut helkutin roistot oli laponnu bensatankin tyhjäks. ",to siphon
lappaa 1 ,"tulla joukoittain, solkenaan  ","Taitaa kauppa käydä hyvin, ku asiakasta lappaa ovista ja ikkunoista. Sinne bileisiin lappo jotain ihan outoo porukkaa, ","to flock, pour"
lappaa 2 ,"mättää, lusikoida, lapioida  ",Lapa noi kaikki tavarat kyytiin! Äiti lappo mulle ihan liikaa kiisseliä. ,"to scoop, shovel"
lappu ,pelikortti  ,Lyö ny se lappu pöytään! Tulipas huonot laput. ,playing card
lappuliisa ,"naispuolinen pysäköinninvalvoja, parkkipirkko  ","Olin poissa hyvä ku viis minuuttia, nijo oli lappuliisa ehtiny kirjottaa sakot. Ei kai täällä mitään lappuliisoja käy. ",meter maid
lappu luukulla ,"liikkeestä tai laitoksesta: lopetettu, konkurssissa; kiinni, suljettu  ","Tos kaupas käy niin vähän porukkaa, et kohta on varmaan lappu luukulla. Mä luulin et se olis ollut kaheksaan asti auki, mut siel olikin jo pantu lappu luukulle, ","shut up, closed; bankrupt"
lapsellinen ,"joku, jolla on lapsi, perheellinen varsinkin lapsettoman vastakohtana  ","Mun kavereista suurin osa on lapsettomia, jaa no on sit yks lapsellinen pariskunta. Lapsellisia opiskelijoita pitäs tukea enemmän, ",person who has children
lapsenkengissä ,"alussa, vaatimatonta, vähäistä  ",Tää meiän yrityksen toiminta on vielä ihan lapsenkengissä. ,in its infancy; modest
lapsenlikka ,"lapsenvahti, (tilapäinen) lastenhoitaja  ",Pitäs saada joku lapsenlikka illaks. Joutasko se teidän tyttö meille lapsenlikaks. ,babysitter
lapsenteko ,"lapsen hankkiminen, sen yrittäminen  ","Se on kova paikka, ku lapsenteko ei onnistu. Nykyään monet alkaa lapsentekoon vasta kolmekymppisinä. Mä en kestä, ku toi sun äitis kyselee koko ajan siitä lapsenteosta, ","having babies, having children"
lapsiparkki ,tilapäinen lastenhoitopaikka  ,"Se on hyvä kuntosali, ku siellon lapsiparkki. Vanhemmat voi jättää lapset lapsiparkkiin ja lähtee ite shoppailemaan. ",supervised children's play club
laput Silmillä ,"yksipuolisesta suhtautumisesta, ahdasmielisyydestä, puolueellisuudesta  ","Eihän sitä koskaan opi mitään, jos vaan kulkee koko ajan laput silmillä. Niinalla on pahasti laput silmillä, eikse tajuu et se jätkä on idiootti? Ota ny hyvä ihminen ne laput silmiltäs. ","narrow-minded, biased"
1 laputtaa ,"panna johonkin lappu, varustaa lapulla; sakottaa  ","Näissä tavaroissa ei oo vielä hintalappuja, sun täytyy laputtaa ne. Kaikki autotjotka olipysäköity nurmikolle, ne oli laputettu, ",put a price tag; issue a parking ticket
2 laputtaa ,kävellä tai juosta nopeasti  ,"Mitä me täs seistään, lähetään laputtamaan. Ala jätkä laputtaa! ","run, hasten"
larpata ,pelata live-roolipeliä  ,"slg. Jengi tuli illalla puistoon larppaamaan. Noi varmaan menee larppaan, ku niill on tommoset ihme kamppeet, ",to larp (Live Action Role Play)
lasaretti ,sairaala  ,Ville katkas jalkansa ja joutu lasarettiin. Tota menoo sä oot pian lasaretissa. ,hospital
"laskea, lasketella luikuria ","puhua joutavia, perättömiä, lööperiä  ","Taisit laskee vähän luikuria. Niina lasketteli sille jätkälle luikuria päin naamaa, ",to lie
laskea kuin lehmän häntä ,"laskea, heiketä paljon, nopeasti, rajusti  ","Näitten osakkeiden arvo on laskenu ku lehmän häntä. Puolueen kannatus laskee kun lehmän häntä, ",drop or decrease rapidly
laskea tiilenpäitä ,"olla vankilassa, linnassa, lukea tiilenpäitä  ","Jos me jäädään tästä kii, me joudutaan vielä laskemaan tiilenpäitä. Olihan nejätkät jotain pari vuotta tiilenpäitä laskemassa, ",be in jail
laskiämpäri ,"likasanko, -ämpäri  ","Heitä ne ruuanjätteet sinne laskiämpäriin. Älä aina viitti huutaa mulle, ihan ku mä öisin joku laskiämpäri. ",rubbish/trash bucket
lassie ,"skotlanninpaimenkoira, collie  ","Lassie on semmonen pitkäkarvanen. Sitä sanotaan lassieks, ku telkkarissa oli sen niminen koira. ",collie
lastenleikki ,helppo asia  ,"Työ sujui ku lastenleikki. Mikä siinon, et toiset ei tajuu matikkaa millään ja toisille se on pelkkää lastenleikkiä. Tää on raakaa bisnestä eikä mitään lastenleikkiä, ","easy, ""piece of cake"""
lastentauti ,jonkin uuden laitteen tai järjestelmän alkuvaiheessa tulevat ongelmat  ,"Ei kannata ostaa ikinä ihan uusinta kännykkämallia, ku niissä on aina kaikkia lastentauteja. Näistä digi-tv:n lastentaudeista päästään kyllä ajan kanssa eroon, ",problems in the initial phases (of system development)
lasti ,kantamus  ,"Se osti kauheen lastin ruokaa. Meinaatko, et toi lasti riittää koko viikonlopuks? Ville toi laivalta täyden lastin kaljaa. ","load, pack"
lataamo ,"mielisairaala, hullujenhuone  ","Joskus must tuntuu et mä joudun vielälataamoon näitten pentujen kanssa. Se on kuulemma ollu joskus lataamossa, ",mental hospital
latia ,rahaa  ,"Oisko sul heittää pari latia? Ei näistä hommista niin paljon latia saa, et sil kannattais leveillä. Vielä viikko palkkapäivään eikä tilillä oo latin latia. ",money
latingissa ,"ladattu, ladattavana, latauksessa; vireessä, toimintakunnossa  ","Älä helkutissa huido sillä haulikolla, se on meinaan latingissa. Mis täällon töpseli, tää puhelin pitäs saada latinkiin? Auto ei vaan lähteny käyntiin, vaikka akku oli täydessä latingissa. Joukkue ei oikein ollu oikeessa latingissa tässä ottelussa, ","charged, loaded; fit"
latinki ,"lataus, panos  ","Hirvi meni nurin heti ekalla latingilla. Onkohän tässä akussa latinkia yhtään ? Bändillä oli kauhee latinki, heti ku ne tuli lavalle, ","charge, load, cartridge; form"
latkia ,"juoda ahneesti, ryypätä, litkiä  ","Sinäkin se vaan latkit kaljaa kaikki päivät, ",drink avidly
lattana ,"tasainen, litteä, littana  ","Hollannissa ei oo yhtään mäkiä, se on ihan lattana koko maa. Noi nuoret mallitytöt on niin lattanoita et tekee ihan pahaa kattoo. ","flat, even"
lattari ,"latinalaisamerikkalainen musiikki, tanssi  ","Soittakaa välillä joku lattarikin eikä aina vaan tota iskelmää ja humppaa. Lattareita on salsa, cha-cha-cha ja mambo. ",Latinmusicordance
latvabee(kakkonen) ,"tyhmä, typerä; hullu, mielisairas; alun perin psykiatrisista syistä alennettu armeijan palvelusluokka B2  ","halv., slg. Tommonen latvabee pitäs panna hoitoon. Netissä kaikki latvabeet voi kirjotella mitä niitä huvittaa. Se on varmaan joku latvabeekakkonen, ku siltä jäi inttikin kesken. ",stupid; fool; mentally ill
latvasta laho ,"tyhmä, typerä, huonomuistinen, lahopää  ","halv. Toi äijä taitaa olla vähän latvasta laho. Muistuta mua vielä, jos mä vaikka unohdan, mä oon niin latvasta laho. ",stupid; forgetful
laueta 1 ,saada orgasmi  ,Ei kai se oo mikään pakko laueta joka kerta. Kundi laukes melkein heti. ,have an orgasm
laueta 2 ,"hajota, mennä rikki, levitä  ",Nää kengät ei kestä yhtään vettä tai ne laukee heti. No sit mä myöhästyin ku auto laukes matkalla. ,"break, wear out"
laukata ,"juosta paikasta toiseen, kiiruhtaa  ","Niina vaan laukkas koko päivän kaupasta toiseen eikä löytäny mitään. Töissä ei ehdi enää tehä mitään muuta ku laukata kaiken maailman kokouksissa, ","go from place to place, dash around"
laulaa ,"kannella, antaa ilmi, paljastaa  ","Tästä ei sit lauleta kenellekään. Nyt alat jätkä laulaa, kuka sen teki? ","tell on sb, denounce sb, inform on sb"
laulu ,"kulunut juttu, puheenaihe  ","Se on aina se sama laulu, pitää olla kokemusta, pitää olla koulutusta. Taas alko se vanha laulu, et mikään ei saa maksaa mitään. Älä taas viitti jatkaa tota samaa vanhaa laulua, ",the same old story
laulukuorossa ,"urheilussa: karsiutumisesta, putoamisesta 'pudotti jatkosta'. 'karsiutuu'  ","Taas kerran Ruotsi lähetti Suomen laulukuoroon Se kumpi häviää, lähtee laulukuoroon saman tien. Jos peli ei tästä parane, me ollaan kohta laulukuorossa, sports) ","(in sports) eliminated, not qualified, relegated"
lauta ,"pienirintainen, muodoton nainen  ","halv. Kato mikä lauta, ei mitään kunnon tissejä. Se on nuorelle tytölle kauheeta, ku koulussa haukutaan laudaks. ",woman with very small breasts
lautanen ,"lautasen muotoinen antenni, lautasantenni  ","Antenni voi olla harava tai sit lautanen. Sä tarttet oman lautasen, jos sä haluut katella niitä taivaskanavia. ",satellite dish
lauteet ,esiintymislava  ,"slg. Bändi hyppäs lauteille. Ei niitä soittajia meinannu saada lauteilta pois millään, ",stage
lavi ,"laudatur: ylioppilaskokeen ylin arvosana, ällä; syventävät opinnot yliopistossa.  ",Ei Niinalla ollu mitään mahollisuutta saada ruotsista lavia. Äidinkielen opettajalla pitää olla lavi suomesta tai kirjallisuudesta. ,highest grade in high school final exams; advanced studies at university
lavuaari ,pesuallas  ,"Kylppärin lavuaari on tukossa. Sä voisit joskus tiskata noi astiat, ku ne haisee tossa lavuaarissa. Joku sika oli oksentanu lavuaariin, ","sink, washbasin"
leffa ,elokuva  ,Ooksä nähny tätä leffaa? Kaurismäki on ohjannu sen leffan. Siin leffas on hyvä juoni. ,"film, movie"
leffassa ,elokuvissa  ,Me käytiin eilen illalla leffassa. Lähetäänks leffaan ? ,"to/in the cinema, the movies"
"leggingsit, legginssit ","naisten pitkät, tiukasti jalanmyötäiset (trikoo)housut, pitkikset  ","No naiset sanoo että leggingsit, mut miehillä on pitkät kalsarit. Legginssejä voi käyttää hameen kanssa. Mä en niin välitä noista legginsseistä, must sukkahousut on mukavammat. ",leggings
lehe,/eM-sanan vartalo  ,"lehdeAnnaks sen lehen tänne ? Mä luin sen tän aamun lehestä. Kesä tulee, ku puissakin on jo isot lehet. ","leaf; newspaper, magazine"
lehmä ,"(lihava, ruma) nainen, muija, ämmä  ","halv. Oo sä lehmä hiljaa! Jättäsit sen lehmän. Ei tommosta lehmää jaksa kukaan katella, ","(big, ugly) woman"
lehmänkauppa ,(poliittinen) moraalisesti arveluttava vaihtokauppa  ,"Ne siellä eduskunnassa vaan juonii ja tekee lehmänkauppoja keskenään. Se oli kyllä varsinainen lehmänkauppa, ","""horse-trading"""
leija ,pieru  ,"slg., vulg. Hyi helvetti, mikä leija! Kuka päästi leijan? Mulla on jotenkin maha sekasin, ku meinaa lentää leija koko ajan. ","flatus, fart"
leikata ,"ymmärtää, tajuta, hoksata, sytyttää  ","Sillä kaverilla leikkas tosi nopeesti. Anteeks vaan, mutta mulla ei nyt leikannu yhtään. Siinei lihakset auta, jos ei järki leikkaa yhtään, ","understand, comprehend"
leikata kiinni 1 ,"koneesta, moottorista tms: hajota (ylikuumenemisen vuoksi), palaa kiinni (1)  ",Mäntä leikkas kiinni sylinteriin. Älä ota liikaa kierroksia tai se kone leikkaa kii. Tästä tietokoneesta on kovalevy leikannu kii. ,"seize up, overheat"
leikata kiinni 2 ,"hermostua, suuttua, palaa kiinni (2)  ",slg. Oo ny helkutti hiljaa tai mulla leikkaa kii. Sit opella leikkas kii ja se alko huutamaan. ,become angry
leikisti ,"etenkin lasten puheessa: kuvitellusti, leikissä, ei oikeasti  ","Tää olis leikisti syömässä. Oo sä leikisti lääkäri. Älä nyt suutu, tyhmä, se oli vaan leikisti! ",in children's play but not in real life
leikki leikkinä ,"nyt leikittely saa riittää, jätetään leikki sikseen; sehän oli vain leikkiä  ","No leikki leikkinä, mutta eiköhän mennä jo asiaan. Leikki leikkinä, eksä nyt ton vertaa ymmärrä? ","""joking aside""; ""just kidding"""
leipiintyä ,"kyllästyä, saada tarpeekseen, leipääntyä  ",Mä alan pikkuhiljaa leipiintyä tän gradun kirjottamiseen. ,"become fed up, have had enough"
